parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[11,8]",1.12636637521952,1.07207254575699,1.16356799322932,11,8,11,20,+ 6 %,15
"fut.lambda[26,9]",1.12644019463455,1.07390646435925,1.16420990505968,26,9,2,20,+ 6 %,5
"fut.lambda[46,7]",1.12649952633388,1.07281368260146,1.16391747780129,46,7,9,10,+ 6 %,10
"fut.lambda[41,7]",1.12653137679277,1.07355646454662,1.16564810545841,41,7,7,20,+ 6 %,10
"fut.lambda[3,14]",1.12654559340403,1.07319088471368,1.16420243318719,3,14,0,30,+ 10 %,15
"fut.lambda[4,14]",1.12664217375035,1.07227732392524,1.16364522041615,4,14,1,10,+ 10 %,15
"fut.lambda[39,7]",1.12674570563953,1.07242091440874,1.16353726233059,39,7,6,30,+ 6 %,10
"fut.lambda[12,8]",1.1268372286539,1.07330848581365,1.16399944022012,12,8,11,30,+ 6 %,15
"fut.lambda[40,11]",1.12695110672009,1.0748595533187,1.16549133459133,40,11,7,10,+ 8 %,15
"fut.lambda[29,9]",1.12699727464208,1.07169692320461,1.16518529304857,29,9,3,20,+ 6 %,5
"fut.lambda[7,7]",1.12704454796905,1.07240140587759,1.16566143757016,7,7,10,10,+ 6 %,10
"fut.lambda[4,10]",1.12706725625196,1.0723579537221,1.16438597444789,4,10,1,10,+ 8 %,10
"fut.lambda[6,14]",1.12713632156493,1.07513026809934,1.1648802548272,6,14,1,30,+ 10 %,15
"fut.lambda[45,7]",1.12714882497697,1.07449638770145,1.16594470688462,45,7,8,30,+ 6 %,10
"fut.lambda[25,10]",1.12718470018382,1.07374191716879,1.16492312496516,25,10,2,10,+ 8 %,10
"fut.lambda[35,11]",1.12720434181125,1.07415214762285,1.16461627772579,35,11,5,20,+ 8 %,15
"fut.lambda[14,8]",1.12721075289587,1.07346055253486,1.1658138311246,14,8,12,20,+ 6 %,15
"fut.lambda[5,10]",1.127252062465,1.07302850226682,1.16470865711354,5,10,1,20,+ 8 %,10
"fut.lambda[42,7]",1.12726014354436,1.07301140932449,1.1646166038017,42,7,7,30,+ 6 %,10
"fut.lambda[31,9]",1.12731651177992,1.07249361382095,1.16541900384346,31,9,4,10,+ 6 %,5
"fut.lambda[15,8]",1.12735847884823,1.07298467737106,1.16599803287668,15,8,12,30,+ 6 %,15
"fut.lambda[5,14]",1.12743309924974,1.07439311165535,1.16418706164498,5,14,1,20,+ 10 %,15
"fut.lambda[17,8]",1.12748906388664,1.0731244915536,1.16579246868753,17,8,13,20,+ 6 %,15
"fut.lambda[10,7]",1.12753131531994,1.07260486999905,1.16597288010753,10,7,11,10,+ 6 %,10
"fut.lambda[32,9]",1.12761171368575,1.0734638738952,1.16671333878728,32,9,4,20,+ 6 %,5
"fut.lambda[44,7]",1.12761962195801,1.07482560642536,1.16658441546036,44,7,8,20,+ 6 %,10
"fut.lambda[6,10]",1.12762660028355,1.07299379823247,1.16478055753308,6,10,1,30,+ 8 %,10
"fut.lambda[34,9]",1.12764708923676,1.07294055319589,1.16540441601358,34,9,5,10,+ 6 %,5
"fut.lambda[43,11]",1.12766444133605,1.07265483435402,1.16553141274547,43,11,8,10,+ 8 %,15
"fut.lambda[27,10]",1.1278150572882,1.0752645744088,1.16595484009677,27,10,2,30,+ 8 %,10
"fut.lambda[25,14]",1.12782551438826,1.07267482108207,1.16540456375369,25,14,2,10,+ 10 %,15
"fut.lambda[36,11]",1.12786042108431,1.07409441471922,1.16451368952553,36,11,5,30,+ 8 %,15
"fut.lambda[30,9]",1.12789644092255,1.07416413587153,1.16566067132725,30,9,3,30,+ 6 %,5
"fut.lambda[38,11]",1.12821759220321,1.077094148928,1.1653976724789,38,11,6,20,+ 8 %,15
"fut.lambda[26,14]",1.12822635530047,1.07551667822973,1.16614305025631,26,14,2,20,+ 10 %,15
"fut.lambda[33,9]",1.12830052363651,1.07424114458346,1.16641869905436,33,9,4,30,+ 6 %,5
"fut.lambda[26,10]",1.1283177664641,1.07482823975041,1.16604357549752,26,10,2,20,+ 8 %,10
"fut.lambda[47,7]",1.12856090099032,1.07752815158535,1.16685430567615,47,7,9,20,+ 6 %,10
