parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[17,17]",1.01251722839278,0.991777331170648,1.0302410942651,17,17,13,20,none,15
"fut.lambda[10,1]",1.01253602466709,0.991634506426398,1.03174320786005,10,1,11,10,+ 2 %,10
"fut.lambda[17,18]",1.01267867134327,0.99227037837839,1.03051052059974,17,18,13,20,none,5
"fut.lambda[4,5]",1.01272102542891,0.992961755985377,1.03172615463589,4,5,1,10,+ 4 %,15
"fut.lambda[33,1]",1.01298711379677,0.994746195633208,1.03086284094061,33,1,4,30,+ 2 %,10
"fut.lambda[38,2]",1.01316786421809,0.993891281069346,1.03036383685407,38,2,6,20,+ 2 %,15
"fut.lambda[7,3]",1.01321977534871,0.992528610184233,1.0304699793229,7,3,10,10,+ 2 %,5
"fut.lambda[35,3]",1.01332378092533,0.995184158210274,1.03059347603727,35,3,5,20,+ 2 %,5
"fut.lambda[13,1]",1.01373270527143,0.994660800163707,1.03141060958816,13,1,12,10,+ 2 %,10
"fut.lambda[20,16]",1.01374643037523,0.992894412125657,1.03124562368128,20,16,14,20,none,10
"fut.lambda[20,18]",1.01392816599798,0.993320453366058,1.03137297145497,20,18,14,20,none,5
"fut.lambda[10,3]",1.01395062229678,0.993646156581288,1.03339351836262,10,3,11,10,+ 2 %,5
"fut.lambda[19,2]",1.01395755791572,0.994089930301203,1.03351538757649,19,2,14,10,+ 2 %,15
"fut.lambda[3,4]",1.01397793738529,0.994618739554725,1.03411024415335,3,4,0,30,+ 4 %,10
"fut.lambda[20,17]",1.01399934333018,0.993163954842806,1.03267511473941,20,17,14,20,none,15
"fut.lambda[33,3]",1.01400174978409,0.996008062817325,1.03078791986774,33,3,4,30,+ 2 %,5
"fut.lambda[9,16]",1.01433164016077,0.995044346298575,1.03106889159729,9,16,10,30,none,10
"fut.lambda[38,1]",1.01448358391406,0.994790269052616,1.03264707183417,38,1,6,20,+ 2 %,10
"fut.lambda[2,4]",1.01451955167655,0.993649069887829,1.03224284561984,2,4,0,20,+ 4 %,10
"fut.lambda[36,2]",1.01461642422903,0.996527119023635,1.03190331342472,36,2,5,30,+ 2 %,15
"fut.lambda[9,18]",1.01462446433414,0.996851429609259,1.03167457125502,9,18,10,30,none,5
"fut.lambda[25,5]",1.01463159226708,0.994598536831564,1.03308250308887,25,5,2,10,+ 4 %,15
"fut.lambda[16,1]",1.01470293702987,0.99385686863735,1.0344271407528,16,1,13,10,+ 2 %,10
"fut.lambda[1,4]",1.01471881224277,0.995196154396331,1.03292143891525,1,4,0,10,+ 4 %,10
"fut.lambda[9,17]",1.01480788766644,0.995884260848756,1.03157363447141,9,17,10,30,none,15
"fut.lambda[13,3]",1.01484754976022,0.995372404398058,1.03375128386358,13,3,12,10,+ 2 %,5
"fut.lambda[22,2]",1.01496044482208,0.995254379728704,1.03328182365087,22,2,15,10,+ 2 %,15
"fut.lambda[5,5]",1.01521470682108,0.995269854941151,1.03128094914386,5,5,1,20,+ 4 %,15
"fut.lambda[19,1]",1.01530274564115,0.996246108915847,1.03505854326792,19,1,14,10,+ 2 %,10
"fut.lambda[41,2]",1.01533630311784,0.996164807030756,1.03288377567947,41,2,7,20,+ 2 %,15
"fut.lambda[28,5]",1.01534922434715,0.995685949155233,1.03376236590721,28,5,3,10,+ 4 %,15
"fut.lambda[38,3]",1.01547606000435,0.994670976992311,1.03357044271006,38,3,6,20,+ 2 %,5
"fut.lambda[23,18]",1.01551742733729,0.993260988088111,1.0328406224745,23,18,15,20,none,5
"fut.lambda[23,16]",1.01556025001844,0.994384960196984,1.03352680695821,23,16,15,20,none,10
"fut.lambda[6,5]",1.01559291276292,0.997378129204165,1.03433567124393,6,5,1,30,+ 4 %,15
"fut.lambda[23,17]",1.01567620798199,0.994879679198565,1.03424907606289,23,17,15,20,none,15
"fut.lambda[16,3]",1.01570649385987,0.995405204331724,1.03294810955561,16,3,13,10,+ 2 %,5
"fut.lambda[36,1]",1.01611074756919,0.997758988448169,1.03245579688844,36,1,5,30,+ 2 %,10
"fut.lambda[41,1]",1.01630517456477,0.997484364833847,1.03447162774578,41,1,7,20,+ 2 %,10
