n.chicks.released.per.year,n.years.of.captive.releases,surv.improvement,time.lag.for.surv.imp,fut.pop.growth.rate,lcl,ucl
5,30,2%,10,0.953506782,0.915539095,0.983378938
8,30,none,10,0.953521321,0.916657371,0.980661973
8,30,none,5,0.953531591,0.916140915,0.980209733
8,30,none,15,0.953544831,0.916431211,0.980019103
9,10,4%,5,0.953640359,0.900614304,0.991546332
14,10,4%,15,0.953974522,0.900590739,0.990480675
2,30,4%,5,0.954298876,0.908949142,0.989058334
1,20,6%,15,0.954366207,0.900737896,0.992341556
9,20,2%,10,0.954495235,0.910384681,0.986308193
5,30,2%,5,0.954712671,0.9155137,0.984352834
4,20,4%,10,0.954762373,0.908533056,0.989562308
3,10,6%,15,0.954775359,0.899744081,0.993237989
12,10,4%,10,0.954793582,0.902054074,0.991807754
15,10,4%,15,0.954874699,0.902262027,0.9920843
10,10,4%,5,0.954888915,0.901714722,0.992446716
9,20,2%,5,0.954925502,0.911896772,0.986693699
3,30,4%,15,0.955013074,0.91528027,0.987827193
5,20,4%,15,0.955164345,0.909408941,0.989401985
10,20,2%,15,0.955462854,0.915185464,0.986930376
13,10,4%,10,0.955868819,0.905297672,0.993008014
1,10,6%,10,0.956004169,0.900254707,0.995450057
0,30,6%,10,0.95616681,0.900254511,0.996097678
4,10,6%,15,0.956220542,0.901449338,0.994533733
11,10,4%,5,0.956402514,0.908182,0.993164463
0,20,6%,10,0.956463937,0.900133085,0.995967391
0,10,6%,10,0.95652934,0.900528587,0.996032156
1,30,6%,15,0.956671229,0.908521417,0.993452352
4,20,4%,5,0.956700722,0.90913648,0.991921866
10,20,2%,10,0.956707771,0.915346081,0.988119436
9,30,none,5,0.956734189,0.921313176,0.983121415
14,10,4%,10,0.956746389,0.908254914,0.993768526
9,30,none,10,0.956746389,0.921371986,0.982966752
9,30,none,15,0.956746389,0.921324978,0.98270284
6,30,2%,15,0.956848238,0.921052572,0.985346205
12,10,4%,5,0.956886005,0.908377955,0.994302523
10,20,2%,5,0.956960649,0.915625158,0.988862713
3,30,4%,10,0.957225747,0.915993918,0.990257462
5,10,6%,15,0.957489148,0.907202156,0.995716819
6,30,2%,10,0.957611156,0.921142551,0.986628796
2,10,6%,10,0.957812378,0.908063334,0.996725736
5,20,4%,10,0.957859083,0.914887493,0.991886323
11,20,2%,15,0.957908214,0.915970124,0.988862713
15,10,4%,10,0.958079514,0.908558287,0.994971333
13,10,4%,5,0.95836921,0.90868837,0.99531933
6,20,4%,15,0.95847073,0.915443434,0.991729662
2,20,6%,15,0.9584809,0.909229146,0.995500905
6,30,2%,5,0.958507357,0.921336785,0.987328727
11,20,2%,10,0.958544025,0.916621155,0.989549419
1,20,6%,10,0.958565435,0.908567755,0.996839653
6,10,6%,15,0.958682932,0.90847486,0.996984776
3,10,6%,10,0.95905771,0.908252752,0.997937439
3,30,4%,5,0.959089831,0.916965333,0.99234127
14,10,4%,5,0.959103312,0.909045675,0.996085255
11,20,2%,5,0.959130613,0.917181108,0.990324648
10,30,none,10,0.959835135,0.925791265,0.985164567
10,30,none,15,0.959835135,0.926028373,0.985152104
5,20,4%,5,0.95988356,0.915490276,0.993997073
10,30,none,5,0.959922009,0.925888999,0.985191844
4,30,4%,15,0.960078449,0.92120324,0.991182247
12,20,2%,15,0.960102385,0.921093598,0.990406477
7,10,6%,15,0.960265448,0.909291346,0.997884348
12,20,2%,10,0.960305321,0.921105317,0.991196519
15,10,4%,5,0.960316576,0.910199435,0.99706648
6,20,4%,10,0.960367785,0.916681707,0.994237407
7,30,2%,15,0.960423918,0.925756191,0.988432837
4,10,6%,10,0.960448161,0.909059195,0.999037997
1,10,6%,5,0.960470235,0.908558287,0.9991812
1,30,6%,10,0.96049514,0.915077185,0.99782075
0,30,6%,5,0.960790823,0.908556346,1.000573345
0,10,6%,5,0.960801087,0.908653289,1.000560591
0,20,6%,5,0.960859447,0.908484301,1.000533234
12,20,2%,5,0.960974149,0.921299412,0.992327425
7,20,4%,15,0.961253892,0.920811569,0.993830374
7,30,2%,10,0.961448513,0.925912674,0.98927421
8,10,6%,15,0.961782234,0.911497381,0.99934798
13,20,2%,15,0.961796521,0.921708749,0.991986003
4,30,4%,10,0.96180673,0.922286186,0.993578088
7,30,2%,5,0.961845553,0.926051959,0.989887608
5,10,6%,10,0.961960255,0.91106038,1.000034584
3,20,6%,15,0.962021871,0.915983952,0.997780798
11,30,none,15,0.962060956,0.928688639,0.987453375
2,10,6%,5,0.962096669,0.909681707,1.000547841
11,30,none,10,0.962099058,0.927996305,0.987460756
11,30,none,5,0.962224262,0.929506834,0.98745861
6,20,4%,5,0.962310211,0.920740113,0.996049124
2,30,6%,15,0.962348351,0.920486032,0.997064577
13,20,2%,10,0.962385757,0.922324779,0.993033326
2,20,6%,10,0.96253096,0.915490032,0.99948705
9,10,6%,15,0.962820379,0.915129396,1.000047801
13,20,2%,5,0.963166468,0.922984071,0.993608239
1,20,6%,5,0.963171155,0.914945992,1.000848798
7,20,4%,10,0.963326304,0.921326896,0.996059579
14,20,2%,15,0.963414309,0.925702489,0.993789932
3,10,6%,5,0.963427633,0.914624168,1.001993704
6,10,6%,10,0.963440962,0.915185464,1.001470116
