capt.index,surv.index,Year,ext.prob
2,8,2045,0.004
2,8,2046,0.0043
2,8,2047,0.0045
2,8,2048,0.0057
2,8,2049,0.0079
2,9,2020,0
2,9,2021,0
2,9,2022,0
2,9,2023,0
2,9,2024,0
2,9,2025,0
2,9,2026,0
2,9,2027,0
2,9,2028,0
2,9,2029,0
2,9,2030,0
2,9,2031,0
2,9,2032,1e-04
2,9,2033,1e-04
2,9,2034,1e-04
2,9,2035,1e-04
2,9,2036,2e-04
2,9,2037,2e-04
2,9,2038,3e-04
2,9,2039,3e-04
2,9,2040,3e-04
2,9,2041,2e-04
2,9,2042,2e-04
2,9,2043,4e-04
2,9,2044,3e-04
2,9,2045,6e-04
2,9,2046,4e-04
2,9,2047,8e-04
2,9,2048,0.0014
2,9,2049,0.0018
2,10,2020,0
2,10,2021,0
2,10,2022,0
2,10,2023,0
2,10,2024,0
2,10,2025,0
2,10,2026,0
2,10,2027,0
2,10,2028,0
2,10,2029,0
2,10,2030,0
2,10,2031,0
2,10,2032,0
2,10,2033,0
2,10,2034,0
2,10,2035,0
2,10,2036,0
2,10,2037,1e-04
2,10,2038,1e-04
2,10,2039,0
2,10,2040,0
2,10,2041,1e-04
2,10,2042,2e-04
2,10,2043,2e-04
2,10,2044,2e-04
2,10,2045,4e-04
2,10,2046,5e-04
2,10,2047,4e-04
2,10,2048,4e-04
2,10,2049,5e-04
2,11,2020,0
2,11,2021,0
2,11,2022,0
2,11,2023,0
2,11,2024,0
2,11,2025,0
2,11,2026,0
2,11,2027,0
2,11,2028,0
2,11,2029,0
2,11,2030,0
2,11,2031,0
2,11,2032,0
2,11,2033,0
2,11,2034,1e-04
2,11,2035,1e-04
2,11,2036,1e-04
2,11,2037,2e-04
2,11,2038,4e-04
2,11,2039,3e-04
2,11,2040,3e-04
2,11,2041,4e-04
2,11,2042,8e-04
2,11,2043,7e-04
2,11,2044,9e-04
2,11,2045,9e-04
2,11,2046,8e-04
2,11,2047,0.001
2,11,2048,0.0013
2,11,2049,0.0015
2,12,2020,0
2,12,2021,0
2,12,2022,0
2,12,2023,0
2,12,2024,0
2,12,2025,0
2,12,2026,0
2,12,2027,0
2,12,2028,0
2,12,2029,0
2,12,2030,0
2,12,2031,0
2,12,2032,0
2,12,2033,0
2,12,2034,0
2,12,2035,0
2,12,2036,0
2,12,2037,0
2,12,2038,1e-04
2,12,2039,0
2,12,2040,0
2,12,2041,0
2,12,2042,1e-04
2,12,2043,0
2,12,2044,1e-04
2,12,2045,2e-04
2,12,2046,0
2,12,2047,1e-04
2,12,2048,2e-04
2,12,2049,3e-04
2,13,2020,0
2,13,2021,0
2,13,2022,0
2,13,2023,0
2,13,2024,0
2,13,2025,0
2,13,2026,0
2,13,2027,0
2,13,2028,0
2,13,2029,0
2,13,2030,0
2,13,2031,0
2,13,2032,0
2,13,2033,0
2,13,2034,0
2,13,2035,0
2,13,2036,0
2,13,2037,0
2,13,2038,0
2,13,2039,0
2,13,2040,0
2,13,2041,0
2,13,2042,0
2,13,2043,1e-04
2,13,2044,1e-04
2,13,2045,1e-04
2,13,2046,1e-04
2,13,2047,1e-04
2,13,2048,0
2,13,2049,0
2,14,2020,0
2,14,2021,0
2,14,2022,0
2,14,2023,0
2,14,2024,0
2,14,2025,0
2,14,2026,0
2,14,2027,0
2,14,2028,0
2,14,2029,0
2,14,2030,0
2,14,2031,0
2,14,2032,0
2,14,2033,0
2,14,2034,0
2,14,2035,0
2,14,2036,0
2,14,2037,0
2,14,2038,0
2,14,2039,1e-04
2,14,2040,0
2,14,2041,1e-04
2,14,2042,1e-04
2,14,2043,2e-04
2,14,2044,2e-04
2,14,2045,3e-04
2,14,2046,2e-04
2,14,2047,3e-04
2,14,2048,4e-04
2,14,2049,5e-04
2,15,2020,0
2,15,2021,0
2,15,2022,0
2,15,2023,0
2,15,2024,0
2,15,2025,0
2,15,2026,0
2,15,2027,0
2,15,2028,0
2,15,2029,0
2,15,2030,0
2,15,2031,0
2,15,2032,0
2,15,2033,0
2,15,2034,0
2,15,2035,1e-04
2,15,2036,0
2,15,2037,0
2,15,2038,0
2,15,2039,1e-04
2,15,2040,1e-04
2,15,2041,1e-04
2,15,2042,1e-04
2,15,2043,1e-04
2,15,2044,1e-04
2,15,2045,1e-04
2,15,2046,1e-04
2,15,2047,1e-04
2,15,2048,1e-04
2,15,2049,1e-04
2,16,2020,0
2,16,2021,0
2,16,2022,0
2,16,2023,0
2,16,2024,0
2,16,2025,0
2,16,2026,0
2,16,2027,0
2,16,2028,0
2,16,2029,1e-04
2,16,2030,1e-04
2,16,2031,1e-04
2,16,2032,3e-04
2,16,2033,9e-04
2,16,2034,0.0019
2,16,2035,0.0031
2,16,2036,0.0066
2,16,2037,0.0115
2,16,2038,0.0186
2,16,2039,0.028
2,16,2040,0.0384
2,16,2041,0.0535
2,16,2042,0.072
2,16,2043,0.0942
2,16,2044,0.1212
2,16,2045,0.1483
2,16,2046,0.1805
2,16,2047,0.2117
2,16,2048,0.2484
2,16,2049,0.2872
2,17,2020,0
2,17,2021,0
2,17,2022,0
2,17,2023,0
2,17,2024,0
2,17,2025,0
2,17,2026,0
2,17,2027,0
2,17,2028,0
2,17,2029,0
2,17,2030,1e-04
2,17,2031,1e-04
2,17,2032,2e-04
2,17,2033,2e-04
2,17,2034,0.0011
2,17,2035,0.0023
2,17,2036,0.0047
2,17,2037,0.0079
2,17,2038,0.0137
2,17,2039,0.0225
2,17,2040,0.0335
2,17,2041,0.0488
2,17,2042,0.0649
2,17,2043,0.0903
2,17,2044,0.1128
2,17,2045,0.1393
2,17,2046,0.1711
2,17,2047,0.2068
2,17,2048,0.2382
2,17,2049,0.2787
2,18,2020,0
2,18,2021,0
2,18,2022,0
2,18,2023,0
2,18,2024,0
2,18,2025,0
2,18,2026,0
2,18,2027,0
2,18,2028,0
2,18,2029,1e-04
2,18,2030,1e-04
2,18,2031,1e-04
2,18,2032,1e-04
2,18,2033,4e-04
2,18,2034,0.0012
2,18,2035,0.0029
2,18,2036,0.0047
2,18,2037,0.0099
2,18,2038,0.0149
2,18,2039,0.0233
2,18,2040,0.0368
2,18,2041,0.0501
2,18,2042,0.071
2,18,2043,0.0903
2,18,2044,0.1146
2,18,2045,0.1414
2,18,2046,0.1716
2,18,2047,0.2031
2,18,2048,0.2382
2,18,2049,0.2737
3,1,2020,0
3,1,2021,0
3,1,2022,0
3,1,2023,0
3,1,2024,0
3,1,2025,0
3,1,2026,0
3,1,2027,0
3,1,2028,1e-04
3,1,2029,1e-04
3,1,2030,2e-04
3,1,2031,0
3,1,2032,1e-04
3,1,2033,1e-04
3,1,2034,3e-04
3,1,2035,6e-04
3,1,2036,0.0013
3,1,2037,0.0021
3,1,2038,0.0033
3,1,2039,0.0056
3,1,2040,0.0089
3,1,2041,0.0109
3,1,2042,0.0172
3,1,2043,0.0245
3,1,2044,0.0326
3,1,2045,0.0432
3,1,2046,0.0555
3,1,2047,0.0697
3,1,2048,0.0807
3,1,2049,0.0968
3,2,2020,0
3,2,2021,0
3,2,2022,0
3,2,2023,0
3,2,2024,0
3,2,2025,0
3,2,2026,0
3,2,2027,1e-04
3,2,2028,1e-04
3,2,2029,2e-04
3,2,2030,1e-04
3,2,2031,3e-04
3,2,2032,4e-04
3,2,2033,4e-04
3,2,2034,8e-04
3,2,2035,8e-04
3,2,2036,0.0016
3,2,2037,0.0027
3,2,2038,0.0047
3,2,2039,0.0081
3,2,2040,0.0124
3,2,2041,0.0187
3,2,2042,0.0221
3,2,2043,0.0302
3,2,2044,0.0393
3,2,2045,0.0515
3,2,2046,0.065
3,2,2047,0.0822
3,2,2048,0.0974
3,2,2049,0.113
3,3,2020,0
3,3,2021,0
3,3,2022,0
3,3,2023,0
3,3,2024,0
3,3,2025,0
3,3,2026,0
3,3,2027,0
3,3,2028,0
3,3,2029,0
3,3,2030,1e-04
3,3,2031,1e-04
3,3,2032,0
3,3,2033,2e-04
3,3,2034,4e-04
3,3,2035,7e-04
3,3,2036,0.0012
3,3,2037,0.0019
3,3,2038,0.0034
3,3,2039,0.0047
3,3,2040,0.0079
3,3,2041,0.0101
3,3,2042,0.0161
3,3,2043,0.0212
3,3,2044,0.0307
3,3,2045,0.039
3,3,2046,0.0507
3,3,2047,0.0641
3,3,2048,0.0757
3,3,2049,0.0891
3,4,2020,0
3,4,2021,0
3,4,2022,0
3,4,2023,0
3,4,2024,0
3,4,2025,0
3,4,2026,0
3,4,2027,0
3,4,2028,0
